epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4632.31,1.72883,2.19816,1.73068,0.51888,0.48959,0.45584,0.23054,1.7852,2.62231,1.77389,0.00643101,0.00643101,0.00643101
43,4761.09,1.71445,2.14788,1.68605,0.63204,0.48817,0.47459,0.20822,1.99509,2.2536,1.96331,0.00628101,0.00628101,0.00628101
44,4903.12,1.64271,2.10221,1.65753,0.73088,0.44173,0.52014,0.27565,1.81129,1.95582,1.75799,0.00612981,0.00612981,0.00612981
45,5071.7,1.68532,2.07183,1.66682,0.71431,0.44771,0.55897,0.27705,1.77496,1.89274,1.81087,0.00597754,0.00597754,0.00597754
46,5216.93,1.66455,2.14591,1.69009,0.61871,0.51176,0.54012,0.28101,1.71967,1.68399,1.73161,0.00582435,0.00582435,0.00582435
47,5334.51,1.67997,2.14535,1.71924,0.7096,0.48253,0.56833,0.27771,1.85225,1.97417,1.85431,0.0056704,0.0056704,0.0056704
48,5437.1,1.63909,2.08763,1.67641,0.63399,0.52805,0.52949,0.28726,1.74539,1.8436,1.73778,0.00551584,0.00551584,0.00551584
49,5559.48,1.688,2.04799,1.66879,0.67655,0.51254,0.55143,0.29082,1.75868,1.93296,1.74711,0.00536081,0.00536081,0.00536081
50,5672.64,1.6621,2.08742,1.68927,0.54932,0.46852,0.47131,0.23772,1.8822,2.05085,1.88306,0.00520548,0.00520548,0.00520548
51,5827.44,1.64735,1.94436,1.64548,0.58764,0.44852,0.48275,0.24356,1.71489,1.93367,1.72761,0.00505,0.00505,0.00505
52,5967.37,1.63625,1.98644,1.65394,0.51706,0.50504,0.47352,0.25139,1.79006,1.79742,1.73818,0.00489452,0.00489452,0.00489452
53,6122.83,1.60053,2.00292,1.63506,0.70718,0.56014,0.60131,0.2903,1.77241,1.77479,1.74095,0.00473919,0.00473919,0.00473919
54,6308.68,1.6017,1.97079,1.62542,0.62905,0.49817,0.55314,0.25873,1.93808,1.8248,1.87662,0.00458416,0.00458416,0.00458416
55,6465.47,1.60037,1.92409,1.6179,0.67499,0.45927,0.55677,0.27373,1.82874,1.72573,1.75264,0.0044296,0.0044296,0.0044296
56,6639.59,1.54781,1.88821,1.57966,0.63446,0.60712,0.55165,0.26871,1.81094,1.72895,1.72941,0.00427565,0.00427565,0.00427565
57,6828.61,1.56904,1.90234,1.59642,0.67256,0.51204,0.54199,0.28073,1.72842,1.72936,1.68414,0.00412246,0.00412246,0.00412246
58,7001.02,1.55172,1.88254,1.58216,0.61097,0.67086,0.54299,0.30062,1.732,1.56174,1.68876,0.00397019,0.00397019,0.00397019
59,7133.76,1.5344,1.86168,1.55168,0.57495,0.63337,0.55361,0.284,1.77895,1.69763,1.71685,0.00381899,0.00381899,0.00381899
60,7258.96,1.57952,1.86904,1.60593,0.63536,0.53202,0.56082,0.29745,1.78975,1.60944,1.72185,0.00366899,0.00366899,0.00366899
61,7356.58,1.53925,1.84045,1.57684,0.65227,0.5204,0.50754,0.27777,1.73218,1.77567,1.72067,0.00352037,0.00352037,0.00352037
62,7452.13,1.56182,1.83882,1.56893,0.61603,0.57386,0.53743,0.29479,1.62264,1.73015,1.652,0.00337325,0.00337325,0.00337325
